name,badge,discount,price,old_price,product_url,Link
SIUX BLACK CARBON REVOLUTION 2 RED,,29,229.95,325.95,https://www.padelnuestro.com/int/siux-black-carbon-revolution-2-racket-106184-p,Clickme
SIUX ELECTRA ST1,,57,129.95,299,https://www.padelnuestro.com/int/siux-electra-st1-25186-p,Clickme
SIUX DIABLO GO 4,,21,109.95,139,https://www.padelnuestro.com/int/siux-diablo-go-4,Clickme
SIUX TRILOGY GO 4 WOMEN'S,,40,89.95,149,https://www.padelnuestro.com/int/siux-trilogy-go-4-women-s,Clickme
SIUX TRILOGY GO 5,,21,109.95,139,https://www.padelnuestro.com/int/siux-trilogy-go-5,Clickme
SIUX ELECTRA GO 4,,29,98.95,139,https://www.padelnuestro.com/int/siux-electra-go-4,Clickme
SIUX INVICTA 2023,,64,79.95,219.95,https://www.padelnuestro.com/int/siux-invicta-2023-28777-p,Clickme
SIUX TRILOGY GO 4,,43,99.95,175,https://www.padelnuestro.com/int/siux-trilogy-go-4-109484-p,Clickme
SIUX FENIX ELITE 5,,13,199.95,229,https://www.padelnuestro.com/int/siux-fenix-elite-5,Clickme
SIUX SX6,,53,65.95,139.95,https://www.padelnuestro.com/int/siux-sx6-24750-p,Clickme
