name,badge,discount,old_price,price,product_url,category,brand
HEAD COELLO MOTION 2025,,14,350,299.95,https://www.padelnuestro.com/int/head-coello-motion-2025,padel-rackets,Head
HEAD COELLO TEAM 2025,,30,219.95,154.95,https://www.padelnuestro.com/int/head-coello-team-2025,padel-rackets,Head
HEAD SPEED ONE X 2025,,15,300,254.95,https://www.padelnuestro.com/int/head-speed-one-x-2025,padel-rackets,Head
HEAD SPEED ONE 2025,,14,280,239.95,https://www.padelnuestro.com/int/head-speed-one-2025,padel-rackets,Head
HEAD EXTREME ONE 2023,,41,279.95,164.95,https://www.padelnuestro.com/int/head-extreme-one-2023-110103-p,padel-rackets,Head
HEAD ONE ULTRALIGHT WHITE 2025,,44,239.95,134.95,https://www.padelnuestro.com/int/head-one-ultralight-white-2025,padel-rackets,Head
HEAD ONE ULTRALIGHT BLACK 2025,,44,239.95,134.95,https://www.padelnuestro.com/int/pala-head-one-ultralight-black-225024,padel-rackets,Head
HEAD SPEED PRO X 2025,,15,300,254.95,https://www.padelnuestro.com/int/head-speed-pro-x-2025,padel-rackets,Head
HEAD SPEED PRO 2025,,14,280,239.95,https://www.padelnuestro.com/int/head-speed-pro-2025,padel-rackets,Head
HEAD SPEED MOTION 2025 - ARI SANCHEZ,,25,240,179.95,https://www.padelnuestro.com/int/head-speed-motion-2025,padel-rackets,Head
HEAD SPEED TEAM 2025,,15,200,169.95,https://www.padelnuestro.com/int/head-speed-team-2025,padel-rackets,Head
HEAD GRAVITY TEAM 2024,,33,179.95,119.95,https://www.padelnuestro.com/int/head-gravity-team-2024-113826-p,padel-rackets,Head
HEAD GRAVITY TEAM LIGHT 2024,,27,149.96,109.95,https://www.padelnuestro.com/int/head-gravity-team-light-2024-113829-p,padel-rackets,Head
HEAD EXTREME PRO,,38,279.95,174.95,https://www.padelnuestro.com/int/head-extreme-pro-110105-p,padel-rackets,Head
HEAD EXTREME MOTION 2023 PADEL RACKET,,35,239.95,154.95,https://www.padelnuestro.com/int/head-extreme-motion-2023-padel-racket-110102-p,padel-rackets,Head
HEAD EXTREME ELITE 2023,,40,199.95,119.95,https://www.padelnuestro.com/int/head-extreme-elite-2023-110100-p,padel-rackets,Head
HEAD EVO SPEED 2025,,22,90,69.95,https://www.padelnuestro.com/int/head-evo-speed-2025,padel-rackets,Head
Head Radical Pro 2024,,39,279.95,169.95,https://www.padelnuestro.com/int/head-radical-pro-2024-111513-p,padel-rackets,Head
Head Radical Motion 2024,,40,239.95,144.95,https://www.padelnuestro.com/int/head-radical-motion-2024-111512-p,padel-rackets,Head
Head Radical Elite 2024,,45,199.95,109.95,https://www.padelnuestro.com/int/head-radical-elite-2024-111511-p,padel-rackets,Head
HEAD COELLO VIBE 2025,,25,140,104.95,https://www.padelnuestro.com/int/head-coello-vibe-2025,padel-rackets,Head
HEAD VIBE BLACK/PURPLE 2025,,30,99.99,69.95,https://www.padelnuestro.com/int/head-vibe-black-purple-2025,padel-rackets,Head
HEAD COELLO JUNIOR 2025,,27,109.95,79.95,https://www.padelnuestro.com/int/head-coello-junior-2025,padel-rackets,Head
HEAD SPEED JUNIOR 2025,,25,99.95,74.95,https://www.padelnuestro.com/int/head-speed-junior-2025,padel-rackets,Head
HEAD EXTREME JUNIOR 2023 PADEL RACKET,,35,99.95,64.95,https://www.padelnuestro.com/int/head-extreme-junior-2023-padel-racket-110101-p,padel-rackets,Head
HEAD MONSTER KIDS PADEL RACKET,,40,74.95,44.95,https://www.padelnuestro.com/int/head-monster-kids-padel-racket-26444-p,padel-rackets,Head
HEAD MONSTER KIDS,,27,75,54.95,https://www.padelnuestro.com/int/head-monster-kids-112549-p,padel-rackets,Head
HEAD DELTA JUNIOR 2022 PADEL RACKET,,50,99.95,49.95,https://www.padelnuestro.com/int/head-delta-junior-2022-padel-racket-26443-p,padel-rackets,Head
HEAD GRAPHENE TOUCH ALPHA PRO,Exclusive,54,269.95,124.95,https://www.padelnuestro.com/int/head-graphene-touch-alpha-pro-29557-p,padel-rackets,Head
HEAD BOLT TALL/BLACK 2025,,30,99.99,69.95,https://www.padelnuestro.com/int/head-bolt-tall-black-2025,padel-rackets,Head
HEAD BOLT 2025 BLUE,,30,99.95,69.95,https://www.padelnuestro.com/int/head-bolt-2025-blue,padel-rackets,Head
HEAD BOLT 2025 BLACK,,30,99.95,69.95,https://www.padelnuestro.com/int/head-bolt-2025,padel-rackets,Head
HEAD VIBE BLUE/RED 2025,,30,99.95,69.95,https://www.padelnuestro.com/int/pala-head-vibe-2025-bl-rd-226135,padel-rackets,Head
Head GRAPHENE 360 DELTA Gold,Exclusive,68,250,79.95,https://www.padelnuestro.com/int/head-graphene-360-delta-gold-25217-p,padel-rackets,Head
HEAD EVO EXTREME 2023,,33,89.95,59.95,https://www.padelnuestro.com/int/head-evo-extreme-2023-110099-p,padel-rackets,Head
HEAD SPEED JUNIOR 2023,,40,99.95,59.95,https://www.padelnuestro.com/int/head-speed-junior-2023-32522-p,padel-rackets,Head
HEAD COELLO PRO SPECIAL PACKAGING 2025,,10,349.95,314.95,https://www.padelnuestro.com/int/head-coello-pro-special-packaging-2025,padel-rackets,Head
HEAD SPEED ELITE 2023,Out of stock,57,219.95,94.95,https://www.padelnuestro.com/int/head-speed-elite-2023-32511-p,padel-rackets,Head
HEAD GRAVITY PRO 2024,Out of stock,27,239.95,174.95,https://www.padelnuestro.com/int/head-gravity-pro-2024-113828-p,padel-rackets,Head
HEAD GRAVITY MOTION 2024,Out of stock,30,199.95,139.95,https://www.padelnuestro.com/int/head-gravity-motion-2024-113827-p,padel-rackets,Head
HEAD GRAPHENE XT SPARK CONTROL 2 WITH CB,Out of stock,65,200,69.95,https://www.padelnuestro.com/int/head-graphene-xt-spark-control-2-with-cb-29571-p,padel-rackets,Head
HEAD ULTIMATE POWER YELLOW WITH CB,Out of stock,56,160,69.95,https://www.padelnuestro.com/int/head-ultimate-power-yellow-with-cb-29566-p,padel-rackets,Head
HEAD GRAPHENE 360+ ALPHA TOUR,Out of stock,58,239.95,99.95,https://www.padelnuestro.com/int/head-graphene-360-alpha-tour-104744-p,padel-rackets,Head
RED HEAD CALIBRE PADEL RACKET,Out of stock,72,159.95,44.95,https://www.padelnuestro.com/int/red-head-calibre-padel-racket,padel-rackets,Head
HEAD GRAPHENE 360 ALPHA TOUR,Out of stock,65,239.95,84.95,https://www.padelnuestro.com/int/head-graphene-360-alpha-tour-22959-p,padel-rackets,Head
HEAD GRAPHENE 360 ALPHA CONTROL,Out of stock,50,239.95,119.95,https://www.padelnuestro.com/int/head-graphene-360-alpha-control-29570-p,padel-rackets,Head
HEAD EXTREME PRO ARTURO COELLO 2024,Out of stock,25,319.95,239.95,https://www.padelnuestro.com/int/head-extreme-pro-arturo-coello-2024-112801-p,padel-rackets,Head
HEAD SPEED MOTION ARI SÁNCHEZ 2024,Out of stock,40,259.95,155.95,https://www.padelnuestro.com/int/head-speed-motion-ari-sanchez-2024-112802-p,padel-rackets,Head
HEAD EXTREME MOTION PAULA JOSEMARIA 2024,Out of stock,40,259.95,155.95,https://www.padelnuestro.com/int/head-extreme-motion-paula-josemaria-2024-112800-p,padel-rackets,Head
HEAD GRAPHENE 360 ALPHA ULTIMATE PADEL RACKET,Out of stock,58,239.95,99.95,https://www.padelnuestro.com/int/head-graphene-360-alpha-ultimate-padel-racket-29558-p,padel-rackets,Head
HEAD GRAPHENE TOUCH EXPLOSION,Out of stock,50,199.95,99.95,https://www.padelnuestro.com/int/head-graphene-touch-explosion-30330-p,padel-rackets,Head
HEAD ULTIMATE POWER II WITH CB ORANGE,Out of stock,58,179.95,74.95,https://www.padelnuestro.com/int/head-ultimate-power-ii-with-cb-orange-29569-p,padel-rackets,Head
LOK MAXX FLOW 2024,,35,300,194.95,https://www.padelnuestro.com/int/lok-maxx-flow-2024-112982-p,padel-rackets,Lok
LOK CARB-ON FLOW 2024,,42,249.95,144.95,https://www.padelnuestro.com/int/lok-carb-on-flow-2024-112978-p,padel-rackets,Lok
LOK CARB-ON HYPE 2024,,42,250,144.95,https://www.padelnuestro.com/int/lok-carb-on-hype-2024-112979-p,padel-rackets,Lok
LOK EASY HYPE 2024,,42,180,104.95,https://www.padelnuestro.com/int/lok-easy-hype-2024-112981-p,padel-rackets,Lok
LOK EASY FLOW 2024,,42,180,104.95,https://www.padelnuestro.com/int/lok-easy-flow-2024-112980-p,padel-rackets,Lok
LOK BE FLOW 2024,,41,110,64.95,https://www.padelnuestro.com/int/lok-be-flow-2024-112976-p,padel-rackets,Lok
LOK BE HYPE 2024,,41,110,64.95,https://www.padelnuestro.com/int/lok-be-hype-2024-112977-p,padel-rackets,Lok
LOK MAXX HYPE 2024,Out of stock,23,299.95,229.95,https://www.padelnuestro.com/int/lok-maxx-hype-2024-112983-p,padel-rackets,Lok
SIUX ELECTRA ST3 GO,,47,189,99.95,https://www.padelnuestro.com/int/109474-p,padel-rackets,Siux
SIUX FENIX GO 4,,43,174.99,99.95,https://www.padelnuestro.com/int/siux-fenix-go-4-109478-p,padel-rackets,Siux
SIUX DIABLO GO 3,,47,189,99.95,https://www.padelnuestro.com/int/siux-diablo-go-3-109470-p,padel-rackets,Siux
SIUX PEGASUS REVOLUTION 3K 2023,,45,320,174.95,https://www.padelnuestro.com/int/siux-pegasus-revolution-3k-2023-28747-p,padel-rackets,Siux
SIUX BLACK CARBON REVOLUTION 3K,,30,299,209.95,https://www.padelnuestro.com/int/siux-black-carbon-revolution-3k-24395-p,padel-rackets,Siux
SIUX TRILOGY II CONTROL 24K PATTY LLAGUNO 2023,,66,350,119.95,https://www.padelnuestro.com/int/siux-trilogy-ii-control-24k-patty-llaguno-2023-28753-p,padel-rackets,Siux
SIUX FENIX PRO 5 2025,,14,324.95,279.95,https://www.padelnuestro.com/int/siux-fenix-pro-5-2025,padel-rackets,Siux
SIUX DIABLO PRO 4 2025,,29,324.95,229.95,https://www.padelnuestro.com/int/siux-diablo-pro-4-2025,padel-rackets,Siux
SIUX ELECTRA STUPA PRO ST4 2025,,29,324.95,229.95,https://www.padelnuestro.com/int/siux-electra-stupa-pro-st4-2025,padel-rackets,Siux
